iter	Passed	Remaining
620	1031	629
621	1034	628
622	1034	626
623	1035	624
624	1036	621
625	1037	619
626	1037	617
627	1038	614
628	1038	612
629	1038	610
630	1039	607
631	1040	605
632	1040	603
633	1041	601
634	1041	598
635	1042	596
636	1042	594
637	1043	592
638	1044	590
639	1044	587
640	1045	585
641	1045	582
642	1046	580
643	1046	578
644	1047	576
645	1048	574
646	1048	572
647	1048	569
648	1049	567
649	1049	565
650	1049	562
651	1050	560
652	1050	558
653	1051	556
654	1051	553
655	1052	551
656	1052	549
657	1052	547
658	1053	545
659	1053	542
660	1054	540
661	1054	538
662	1054	536
663	1055	533
664	1055	531
665	1055	529
666	1056	527
667	1056	525
668	1057	523
669	1058	521
670	1059	519
671	1060	517
672	1060	515
673	1061	513
674	1061	511
675	1061	508
676	1062	506
677	1062	504
678	1063	502
679	1063	500
680	1063	498
681	1064	496
682	1064	494
683	1065	492
684	1065	489
685	1066	488
686	1067	486
687	1067	484
688	1068	482
689	1069	480
690	1070	478
691	1070	476
692	1071	474
693	1071	472
694	1071	470
695	1072	468
696	1072	466
697	1072	464
698	1074	462
699	1074	460
700	1075	458
701	1075	456
702	1075	454
703	1076	452
704	1076	450
705	1076	448
706	1077	446
707	1077	444
708	1077	442
709	1078	440
710	1078	438
711	1078	436
712	1079	434
713	1080	432
714	1080	430
715	1080	428
716	1081	426
717	1081	424
718	1081	422
719	1082	420
720	1082	418
721	1082	416
722	1083	415
723	1084	413
724	1086	412
725	1086	410
726	1087	408
727	1087	406
728	1087	404
729	1088	402
730	1088	400
731	1089	398
732	1089	396
733	1089	394
734	1090	393
735	1090	391
736	1091	389
737	1091	387
738	1091	385
739	1092	383
740	1092	381
741	1092	380
742	1093	378
743	1093	376
744	1093	374
745	1094	372
746	1094	370
747	1095	368
748	1095	367
749	1095	365
750	1096	363
751	1096	361
752	1096	359
753	1099	358
754	1099	356
755	1100	355
756	1100	353
757	1101	351
758	1101	349
759	1101	347
760	1102	346
761	1102	344
762	1103	342
763	1103	340
764	1103	339
765	1104	337
766	1105	335
767	1105	333
768	1106	332
769	1106	330
770	1109	329
771	1111	328
772	1112	326
